MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
26004 Sertão Moxotó;235845,00;5113,00;132,00;7704,71;319,63;8,57;98029,00;415,65;37704,00;0,16;33125,00;0,14;82,00;1,04;223,00;0,95;276,00;1,17;60,00;0,25;444,00;1,88;424,00;1,80;4,00;0,02;20,00;0,08;2,00;0,01;13,00;0,06;21,68;0,56
26005 Petrolina;521016,00;14080,00;169,00;13331,88;475,51;4,66;228617,00;438,79;101298,00;0,19;84340,00;0,16;151,00;0,87;1045,00;2,01;784,00;1,50;183,00;0,35;806,00;1,55;1139,00;2,19;2,00;0,00;53,00;0,10;10,00;0,02;191,00;0,37;27,02;0,32
26006 Itaparica;149762,00;2390,00;38,00;8820,37;291,71;6,23;53340,00;356,17;22348,00;0,15;17765,00;0,12;46,00;0,92;94,00;0,63;136,00;0,91;20,00;0,13;287,00;1,92;282,00;1,88;1,00;0,01;8,00;0,05;0,00;0,00;3,00;0,02;15,96;0,25
26007 Vale do Ipanema;197793,00;3606,00;73,00;5804,20;208,59;13,61;51395,00;259,84;24129,00;0,12;21078,00;0,11;61,00;0,93;66,00;0,33;122,00;0,62;19,00;0,10;442,00;2,23;218,00;1,10;1,00;0,01;8,00;0,04;0,00;0,00;4,00;0,02;18,23;0,37
26008 Vale do Ipojuca;948109,00;24721,00;801,00;11655,50;400,74;5,65;519100,00;547,51;195316,00;0,21;197301,00;0,21;253,00;0,80;1230,00;1,30;1258,00;1,33;354,00;0,37;1561,00;1,65;1732,00;1,83;560,00;0,59;66,00;0,07;13,00;0,01;211,00;0,22;26,07;0,84
26009 Alto Capibaribe;323497,00;7177,00;185,00;9788,14;397,54;4,01;153183,00;473,52;52535,00;0,16;55205,00;0,17;87,00;0,81;129,00;0,40;198,00;0,61;56,00;0,17;547,00;1,69;534,00;1,65;43,00;0,13;15,00;0,05;3,00;0,01;15,00;0,05;22,19;0,57
26010 M.Capibaribe;260251,00;5215,00;232,00;7120,78;277,28;5,87;43612,00;167,58;42792,00;0,16;36594,00;0,14;100,00;1,15;194,00;0,75;233,00;0,90;63,00;0,24;576,00;2,21;382,00;1,47;139,00;0,53;17,00;0,07;1,00;0,00;28,00;0,11;20,04;0,89
26011 Garanhuns;472537,00;10255,00;254,00;8444,05;315,96;7,10;175701,00;371,82;78740,00;0,17;77792,00;0,16;173,00;1,10;378,00;0,80;485,00;1,03;106,00;0,22;1122,00;2,37;859,00;1,82;5,00;0,01;27,00;0,06;4,00;0,01;86,00;0,18;21,70;0,54
26012 Brejo PE;225453,00;4774,00;180,00;6345,01;262,64;6,73;118068,00;523,69;45628,00;0,20;40042,00;0,18;88,00;1,17;126,00;0,56;191,00;0,85;40,00;0,18;492,00;2,18;360,00;1,60;14,00;0,06;8,00;0,04;0,00;0,00;4,00;0,02;21,18;0,80
26013 Mata Set.PE;570919,00;10283,00;476,00;10696,18;308,80;5,35;131451,00;230,24;111750,00;0,20;106433,00;0,19;199,00;1,05;581,00;1,02;541,00;0,95;152,00;0,27;1125,00;1,97;889,00;1,56;95,00;0,17;23,00;0,04;3,00;0,01;44,00;0,08;18,01;0,83
26014 Vitória S.Antão;232853,00;4207,00;250,00;14092,45;349,01;6,07;105336,00;452,37;45554,00;0,20;47481,00;0,20;69,00;0,89;187,00;0,80;196,00;0,84;66,00;0,28;375,00;1,61;557,00;2,39;48,00;0,21;15,00;0,06;4,00;0,02;29,00;0,12;18,07;1,07
26015 Mata Merid.PE;608639,00;9212,00;541,00;7983,63;263,75;8,03;192956,00;317,03;101175,00;0,17;87146,00;0,14;181,00;0,89;331,00;0,54;383,00;0,63;94,00;0,15;1228,00;2,02;913,00;1,50;5,00;0,01;22,00;0,04;2,00;0,00;58,00;0,10;15,14;0,89
26016 Itamaracá;192675,00;2328,00;201,00;18622,40;346,28;3,80;12210,00;63,37;36441,00;0,19;34927,00;0,18;54,00;0,84;214,00;1,11;172,00;0,89;35,00;0,18;298,00;1,55;367,00;1,90;8,00;0,04;6,00;0,03;0,00;0,00;11,00;0,06;12,08;1,04
26017 Recife;3524441,00;85700,00;5212,00;20792,71;801,01;2,76;1366401,00;387,69;847286,00;0,24;892928,00;0,25;670,00;0,57;9185,00;2,61;6523,00;1,85;1612,00;0,46;4206,00;1,19;11629,00;3,30;30,00;0,01;405,00;0,11;77,00;0,02;2511,00;0,71;24,32;1,48
26018 Suape;306613,00;3727,00;394,00;55524,08;412,86;5,46;83438,00;272,13;59630,00;0,19;61991,00;0,20;64,00;0,63;837,00;2,73;469,00;1,53;135,00;0,44;361,00;1,18;566,00;1,85;47,00;0,15;35,00;0,11;3,00;0,01;74,00;0,24;12,16;1,29
26019 Fern.Noronha;3101,00;133,00;0,00;26673,95;1024,28;1,67;1591,00;513,06;563,00;0,18;583,00;0,19;1,00;0,97;8,00;2,58;9,00;2,90;2,00;0,64;8,00;2,58;17,00;5,48;43,00;13,87;1,00;0,32;0,00;0,00;3,00;0,97;42,89;0,00
27001 Serr.Sertão AL;92087,00;725,00;17,00;4906,22;191,49;12,41;8375,00;90,95;9666,00;0,10;6451,00;0,07;36,00;1,17;53,00;0,58;84,00;0,91;20,00;0,22;238,00;2,58;61,00;0,66;41,00;0,45;1,00;0,01;0,00;0,00;#NULO!;0,00;7,87;0,18
27002 Sert.S.Franc.AL;86886,00;1627,00;40,00;7902,02;291,64;9,32;42914,00;493,91;17512,00;0,20;15570,00;0,18;28,00;0,97;67,00;0,77;88,00;1,01;23,00;0,26;218,00;2,51;86,00;0,99;376,00;4,33;5,00;0,06;0,00;0,00;1,00;0,01;18,73;0,46
27003 Santana Ipanema;178716,00;5301,00;82,00;6011,65;219,43;11,13;2961,00;16,57;23655,00;0,13;18458,00;0,10;63,00;1,06;103,00;0,58;173,00;0,97;34,00;0,19;454,00;2,54;168,00;0,94;1,00;0,01;6,00;0,03;2,00;0,01;32,00;0,18;29,66;0,46
27004 Batalha;96452,00;2979,00;47,00;6404,03;239,94;9,77;3580,00;37,12;14985,00;0,16;10964,00;0,11;40,00;1,24;51,00;0,53;85,00;0,88;19,00;0,20;250,00;2,59;114,00;1,18;20,00;0,21;0,00;0,00;0,00;0,00;1,00;0,01;30,89;0,49
27005 Palmeira Índios;179333,00;4403,00;92,00;7063,78;297,86;8,24;16237,00;90,54;28373,00;0,16;24506,00;0,14;69,00;1,15;96,00;0,54;157,00;0,88;47,00;0,26;473,00;2,64;197,00;1,10;23,00;0,13;10,00;0,06;2,00;0,01;25,00;0,14;24,55;0,51
27006 Arapiraca;441885,00;19405,00;290,00;9749,83;311,90;7,66;24941,00;56,44;67637,00;0,15;68171,00;0,15;151,00;1,03;713,00;1,61;553,00;1,25;184,00;0,42;1031,00;2,33;1123,00;2,54;37,00;0,08;29,00;0,07;10,00;0,02;90,00;0,20;43,91;0,66
27007 Traipu;39923,00;697,00;12,00;5350,36;179,82;19,42;857,00;21,47;4388,00;0,11;1919,00;0,05;14,00;1,05;14,00;0,35;27,00;0,68;9,00;0,23;99,00;2,48;12,00;0,30;14,00;0,35;0,00;0,00;0,00;0,00;0,00;0,00;17,46;0,30
27008 Serr.Quilombos;152009,00;3258,00;91,00;8069,78;261,51;10,23;61150,00;402,28;28095,00;0,18;19160,00;0,13;53,00;1,05;89,00;0,59;125,00;0,82;57,00;0,37;405,00;2,66;281,00;1,85;95,00;0,62;8,00;0,05;2,00;0,01;45,00;0,30;21,43;0,60
27009 Mata AL;318641,00;7409,00;209,00;7370,02;229,89;10,31;67848,00;212,93;45418,00;0,14;39503,00;0,12;120,00;1,13;159,00;0,50;274,00;0,86;84,00;0,26;792,00;2,49;432,00;1,36;2571,00;8,07;6,00;0,02;0,00;0,00;16,00;0,05;23,25;0,66
27010 Litoral N AL;72407,00;1393,00;42,00;9481,61;234,57;12,64;7733,00;106,80;9139,00;0,13;8016,00;0,11;28,00;1,16;49,00;0,68;67,00;0,93;19,00;0,26;194,00;2,68;4,00;0,06;3,00;0,04;2,00;0,03;0,00;0,00;2,00;0,03;19,24;0,58
27011 Maceió;1253244,00;44008,00;1288,00;16058,24;695,53;5,21;302081,00;241,04;248700,00;0,20;274991,00;0,22;166,00;0,40;3052,00;2,44;1946,00;1,55;775,00;0,62;999,00;0,80;3316,00;2,65;19,00;0,02;141,00;0,11;33,00;0,03;484,00;0,39;35,12;1,03
27012 S.Miguel Campos;308789,00;10243,00;212,00;12136,64;268,70;5,61;73451,00;237,87;53567,00;0,17;42788,00;0,14;111,00;1,08;234,00;0,76;300,00;0,97;95,00;0,31;730,00;2,36;610,00;1,98;110,00;0,36;16,00;0,05;3,00;0,01;69,00;0,22;33,17;0,69
27013 Penedo;131171,00;3362,00;59,00;9164,24;273,95;8,85;14289,00;108,93;27252,00;0,21;19769,00;0,15;47,00;1,07;80,00;0,61;125,00;0,95;30,00;0,23;323,00;2,46;127,00;0,97;2,00;0,02;7,00;0,05;2,00;0,02;11,00;0,08;25,63;0,45
28001 Sert.S.Franc.SE;174628,00;4085,00;90,00;10242,16;243,40;7,78;45576,00;260,99;34201,00;0,20;23701,00;0,14;61,00;1,05;84,00;0,48;174,00;1,00;29,00;0,17;455,00;2,61;107,00;0,61;49,00;0,28;11,00;0,06;0,00;0,00;24,00;0,14;23,39;0,52
28002 Carira;75289,00;2726,00;77,00;11834,85;322,48;5,94;14807,00;196,67;15889,00;0,21;13598,00;0,18;27,00;1,08;28,00;0,37;48,00;0,64;11,00;0,15;163,00;2,16;2,00;0,03;25,00;0,33;1,00;0,01;0,00;0,00;2,00;0,03;36,21;1,02
28003 NS das Dores;67759,00;2351,00;58,00;9797,79;278,91;5,40;8775,00;129,50;15039,00;0,22;11836,00;0,17;27,00;1,20;39,00;0,58;49,00;0,72;12,00;0,18;165,00;2,44;32,00;0,47;250,00;3,69;2,00;0,03;0,00;0,00;0,00;0,00;34,70;0,86
28004 Agr.Itabaiana;175215,00;9253,00;179,00;11461,44;381,24;4,28;48594,00;277,34;38867,00;0,22;36374,00;0,21;54,00;0,92;116,00;0,66;148,00;0,84;47,00;0,27;402,00;2,29;177,00;1,01;13,00;0,07;9,00;0,05;4,00;0,02;46,00;0,26;52,81;1,02
28005 Tobias Barreto;117003,00;4173,00;110,00;9202,11;307,95;5,35;51631,00;441,28;22424,00;0,19;21371,00;0,18;33,00;0,85;50,00;0,43;72,00;0,62;13,00;0,11;276,00;2,36;29,00;0,25;23,00;0,20;7,00;0,06;0,00;0,00;4,00;0,03;35,67;0,94
28006 Agr.Lagarto;125030,00;4043,00;118,00;11159,11;332,42;5,65;15292,00;122,31;22777,00;0,18;21844,00;0,17;35,00;0,84;141,00;1,13;204,00;1,63;60,00;0,48;239,00;1,91;203,00;1,62;269,00;2,15;12,00;0,10;3,00;0,02;68,00;0,54;32,34;0,94
28007 Propriá;95157,00;3819,00;109,00;9854,61;294,52;7,21;25395,00;266,87;21563,00;0,23;16943,00;0,18;39,00;1,23;96,00;1,01;142,00;1,49;20,00;0,21;239,00;2,51;74,00;0,78;193,00;2,03;8,00;0,08;2,00;0,02;13,00;0,14;40,13;1,15
28008 Cotinguiba;52622,00;2102,00;40,00;16017,13;290,50;6,17;2087,00;39,66;10648,00;0,20;7221,00;0,14;20,00;1,14;20,00;0,38;42,00;0,80;12,00;0,23;119,00;2,26;65,00;1,24;18,00;0,34;2,00;0,04;0,00;0,00;1,00;0,02;39,95;0,76
28009 Japaratuba;60016,00;1179,00;65,00;20436,50;247,18;7,18;2263,00;37,71;10436,00;0,17;8641,00;0,14;25,00;1,25;33,00;0,55;43,00;0,72;12,00;0,20;145,00;2,42;21,00;0,35;38,00;0,63;1,00;0,02;0,00;0,00;5,00;0,08;19,64;1,08
28010 B.Cotinguiba;101115,00;2492,00;91,00;31403,20;316,82;3,83;32404,00;320,47;20057,00;0,20;19303,00;0,19;35,00;1,04;58,00;0,57;64,00;0,63;19,00;0,19;217,00;2,15;71,00;0,70;13,00;0,13;2,00;0,02;0,00;0,00;1,00;0,01;24,65;0,90
28011 Aracaju;972637,00;66582,00;1255,00;19489,75;814,20;3,20;510977,00;525,35;235460,00;0,24;219939,00;0,23;242,00;0,75;3100,00;3,19;1598,00;1,64;553,00;0,57;1269,00;1,30;2256,00;2,32;36,00;0,04;120,00;0,12;20,00;0,02;522,00;0,54;68,46;1,29
28012 Boquim;165816,00;4495,00;147,00;8463,82;261,71;6,73;15502,00;93,49;22303,00;0,13;26115,00;0,16;56,00;1,01;79,00;0,48;128,00;0,77;25,00;0,15;394,00;2,38;67,00;0,40;44,00;0,27;3,00;0,02;0,00;0,00;4,00;0,02;27,11;0,89
28013 Estância;136535,00;5205,00;145,00;22014,08;305,90;7,05;11787,00;86,33;24333,00;0,18;19566,00;0,14;44,00;0,97;92,00;0,67;136,00;1,00;23,00;0,17;294,00;2,15;189,00;1,38;33,00;0,24;13,00;0,10;2,00;0,01;61,00;0,45;38,12;1,06
29001 Barreiras;347122,00;13734,00;186,00;30815,79;543,06;3,55;22755,00;65,55;65495,00;0,19;56234,00;0,16;103,00;0,89;435,00;1,25;481,00;1,39;173,00;0,50;552,00;1,59;638,00;1,84;247,00;0,71;53,00;0,15;11,00;0,03;131,00;0,38;39,57;0,54
29002 Cotegipe;119183,00;2391,00;37,00;5809,94;236,17;3,49;3172,00;26,61;18874,00;0,16;8591,00;0,07;48,00;1,21;38,00;0,32;101,00;0,85;21,00;0,18;284,00;2,38;223,00;1,87;60,00;0,50;11,00;0,09;0,00;0,00;5,00;0,04;20,06;0,31
29003 S Maria Vitória;182396,00;3762,00;49,00;12927,73;277,24;4,83;8229,00;45,12;37348,00;0,20;21803,00;0,12;69,00;1,13;101,00;0,55;159,00;0,87;27,00;0,15;458,00;2,51;341,00;1,87;29,00;0,16;12,00;0,07;1,00;0,01;7,00;0,04;20,63;0,27
29004 Juazeiro;494980,00;11899,00;213,00;8712,77;339,54;6,71;175790,00;355,15;89010,00;0,18;75200,00;0,15;137,00;0,83;603,00;1,22;488,00;0,99;92,00;0,19;1015,00;2,05;887,00;1,79;25,00;0,05;32,00;0,06;5,00;0,01;94,00;0,19;24,04;0,43
29005 Paulo Afonso;182526,00;2480,00;71,00;10047,32;428,79;7,15;100179,00;548,85;37973,00;0,21;32491,00;0,18;51,00;0,84;225,00;1,23;239,00;1,31;71,00;0,39;300,00;1,64;233,00;1,28;14,00;0,08;13,00;0,07;3,00;0,02;32,00;0,18;13,59;0,39
29006 Barra;183168,00;3195,00;54,00;5642,26;228,31;7,80;13744,00;75,03;31295,00;0,17;22779,00;0,12;55,00;0,90;101,00;0,55;175,00;0,96;27,00;0,15;408,00;2,23;299,00;1,63;35,00;0,19;12,00;0,07;0,00;0,00;15,00;0,08;17,44;0,29
29007 B Jesus da Lapa;181009,00;2141,00;36,00;6301,86;255,97;5,87;17147,00;94,73;31679,00;0,18;18090,00;0,10;68,00;1,13;118,00;0,65;173,00;0,96;30,00;0,17;415,00;2,29;211,00;1,17;94,00;0,52;10,00;0,06;1,00;0,01;25,00;0,14;11,83;0,20
29008 Senhor Bonfim;302999,00;8651,00;104,00;7377,93;301,76;6,58;75434,00;248,96;59030,00;0,19;45682,00;0,15;99,00;0,98;182,00;0,60;180,00;0,59;73,00;0,24;697,00;2,30;423,00;1,40;10,00;0,03;23,00;0,08;6,00;0,02;69,00;0,23;28,55;0,34
29009 Irecê;396256,00;14523,00;136,00;6095,15;285,69;3,47;14922,00;37,66;91481,00;0,23;60455,00;0,15;139,00;1,05;293,00;0,74;417,00;1,05;99,00;0,25;837,00;2,11;740,00;1,87;49,00;0,12;38,00;0,10;4,00;0,01;59,00;0,15;36,65;0,34
29010 Jacobina;338733,00;10917,00;72,00;7089,97;291,43;4,37;68717,00;202,86;77647,00;0,23;60882,00;0,18;120,00;1,06;243,00;0,72;334,00;0,99;73,00;0,22;750,00;2,21;691,00;2,04;498,00;1,47;33,00;0,10;1,00;0,00;59,00;0,17;32,23;0,21
29011 Itaberaba;254407,00;6722,00;86,00;6419,48;304,06;4,56;83459,00;328,05;51936,00;0,20;43530,00;0,17;90,00;1,06;152,00;0,60;232,00;0,91;45,00;0,18;579,00;2,28;450,00;1,77;101,00;0,40;26,00;0,10;5,00;0,02;44,00;0,17;26,42;0,34
29012 F Santana;1074399,00;33944,00;508,00;14529,93;489,48;4,53;298897,00;278,20;213912,00;0,20;204542,00;0,19;282,00;0,79;1395,00;1,30;1456,00;1,36;393,00;0,37;1840,00;1,71;1973,00;1,84;142,00;0,13;99,00;0,09;27,00;0,03;339,00;0,32;31,59;0,47
29013 Jeremoabo;96814,00;1341,00;23,00;5797,25;231,64;8,99;21136,00;218,32;15419,00;0,16;11374,00;0,12;38,00;1,18;45,00;0,46;107,00;1,11;14,00;0,14;236,00;2,44;34,00;0,35;2,00;0,02;2,00;0,02;0,00;0,00;2,00;0,02;13,85;0,24
29014 Euclides Cunha;302905,00;4912,00;74,00;5822,71;245,12;5,18;43125,00;142,37;50150,00;0,17;27224,00;0,09;108,00;1,07;139,00;0,46;228,00;0,75;50,00;0,17;711,00;2,35;373,00;1,23;174,00;0,57;17,00;0,06;0,00;0,00;13,00;0,04;16,22;0,24
29015 Ribeira Pombal;334859,00;6997,00;81,00;6584,24;249,73;6,76;62295,00;186,03;66120,00;0,20;39467,00;0,12;117,00;1,05;170,00;0,51;325,00;0,97;47,00;0,14;713,00;2,13;445,00;1,33;44,00;0,13;23,00;0,07;4,00;0,01;23,00;0,07;20,90;0,24
29016 Serrinha;440982,00;17056,00;108,00;6670,72;290,79;6,32;127852,00;289,93;86078,00;0,20;66314,00;0,15;151,00;1,03;276,00;0,63;466,00;1,06;122,00;0,28;940,00;2,13;955,00;2,17;2,00;0,00;36,00;0,08;2,00;0,00;76,00;0,17;38,68;0,24
29017 Alagoinhas;328745,00;9575,00;160,00;13976,98;374,91;4,95;76090,00;231,46;74092,00;0,23;50718,00;0,15;90,00;0,82;416,00;1,27;397,00;1,21;123,00;0,37;579,00;1,76;394,00;1,20;50,00;0,15;33,00;0,10;5,00;0,02;65,00;0,20;29,13;0,49
29018 Entre Rios;125586,00;2044,00;30,00;15931,10;274,51;6,33;3168,00;25,23;22741,00;0,18;17941,00;0,14;38,00;0,91;55,00;0,44;106,00;0,84;22,00;0,18;277,00;2,21;120,00;0,96;48,00;0,38;6,00;0,05;0,00;0,00;4,00;0,03;16,28;0,24
29019 Catu;231007,00;6733,00;113,00;19437,68;401,94;2,82;100936,00;436,94;49788,00;0,22;46045,00;0,20;76,00;0,99;161,00;0,70;216,00;0,94;61,00;0,26;483,00;2,09;394,00;1,71;97,00;0,42;21,00;0,09;2,00;0,01;36,00;0,16;29,15;0,49
29020 S Antônio Jesus;574951,00;17189,00;232,00;10566,45;370,50;4,53;169219,00;294,32;110240,00;0,19;94415,00;0,16;185,00;0,97;502,00;0,87;699,00;1,22;197,00;0,34;1217,00;2,12;983,00;1,71;1,00;0,00;58,00;0,10;10,00;0,02;88,00;0,15;29,90;0,40
29021 Salvador;3826038,00;139236,00;3737,00;22691,66;853,62;2,44;2802443,00;732,47;1070659,00;0,28;710383,00;0,19;617,00;0,48;10859,00;2,84;8258,00;2,16;2578,00;0,67;2742,00;0,72;10007,00;2,62;30,00;0,01;488,00;0,13;100,00;0,03;2266,00;0,59;36,39;0,98
29022 Boquira;194269,00;1893,00;21,00;5165,28;248,20;4,92;17172,00;88,39;35237,00;0,18;17239,00;0,09;77,00;1,19;100,00;0,51;158,00;0,81;52,00;0,27;416,00;2,14;284,00;1,46;3164,00;16,29;16,00;0,08;1,00;0,01;7,00;0,04;9,74;0,11
29023 Seabra;260813,00;6135,00;45,00;6918,51;280,40;3,28;29852,00;114,46;54134,00;0,21;32076,00;0,12;96,00;1,10;131,00;0,50;252,00;0,97;57,00;0,22;660,00;2,53;440,00;1,69;87,00;0,33;19,00;0,07;2,00;0,01;22,00;0,08;23,52;0,17
29024 Jequié;513575,00;18706,00;327,00;8160,72;333,60;4,77;198281,00;386,08;109568,00;0,21;89271,00;0,17;179,00;1,05;470,00;0,92;745,00;1,45;204,00;0,40;1237,00;2,41;1389,00;2,70;1,00;0,00;48,00;0,09;7,00;0,01;71,00;0,14;36,42;0,64
29025 Livr.Brumado;102220,00;1850,00;17,00;6163,37;293,86;3,25;15152,00;148,23;17893,00;0,18;9470,00;0,09;38,00;1,12;78,00;0,76;133,00;1,30;32,00;0,31;245,00;2,40;233,00;2,28;39,00;0,38;12,00;0,12;1,00;0,01;19,00;0,19;18,10;0,17
29026 Guanambi;395405,00;5303,00;54,00;6855,10;342,42;3,32;57300,00;144,91;69714,00;0,18;46829,00;0,12;136,00;1,03;396,00;1,00;501,00;1,27;131,00;0,33;872,00;2,21;834,00;2,11;66,00;0,17;47,00;0,12;10,00;0,03;68,00;0,17;13,41;0,14
29027 Brumado;226484,00;7619,00;77,00;8157,09;294,89;2,81;45288,00;199,96;36844,00;0,16;26051,00;0,12;97,00;1,28;210,00;0,93;266,00;1,17;47,00;0,21;574,00;2,53;237,00;1,05;13,00;0,06;20,00;0,09;3,00;0,01;19,00;0,08;33,64;0,34
29028 Vit.Conquista;644383,00;23398,00;365,00;10353,10;394,62;4,79;228524,00;354,64;125692,00;0,20;114379,00;0,18;179,00;0,83;931,00;1,44;723,00;1,12;250,00;0,39;1332,00;2,07;1313,00;2,04;7,00;0,01;51,00;0,08;11,00;0,02;183,00;0,28;36,31;0,57
29029 Itapetinga;197600,00;7511,00;124,00;8390,52;367,77;4,98;142347,00;720,38;47183,00;0,24;36221,00;0,18;63,00;0,96;114,00;0,58;219,00;1,11;66,00;0,33;469,00;2,37;325,00;1,64;176,00;0,89;8,00;0,04;1,00;0,01;19,00;0,10;38,01;0,63
29030 Valença;286862,00;8611,00;200,00;18043,33;316,23;7,27;90637,00;315,96;46557,00;0,16;37552,00;0,13;88,00;0,92;143,00;0,50;214,00;0,75;79,00;0,28;590,00;2,06;222,00;0,77;1,00;0,00;20,00;0,07;3,00;0,01;21,00;0,07;30,02;0,70
29031 Ilhéus-Itabuna;983168,00;52579,00;1196,00;11049,93;417,25;5,60;584436,00;594,44;239261,00;0,24;214670,00;0,22;318,00;0,97;1126,00;1,15;1521,00;1,55;436,00;0,44;2087,00;2,12;2361,00;2,40;226,00;0,23;0,00;0,00;0,00;0,00;256,00;0,26;53,48;1,22
29032 Porto Seguro;806790,00;32425,00;529,00;13018,50;466,44;4,25;300430,00;372,38;156471,00;0,19;164406,00;0,20;269,00;1,00;844,00;1,05;936,00;1,16;252,00;0,31;1548,00;1,92;1393,00;1,73;134,00;0,17;78,00;0,10;16,00;0,02;234,00;0,29;40,19;0,66
31001 Unaí;160148,00;4860,00;88,00;22725,55;554,85;1,54;67899,00;423,98;34529,00;0,22;33779,00;0,21;48,00;0,90;150,00;0,94;175,00;1,09;48,00;0,30;325,00;2,03;223,00;1,39;3,00;0,02;25,00;0,16;3,00;0,02;34,00;0,21;30,35;0,55
31002 Paracatu;237979,00;6443,00;70,00;25147,02;583,62;1,27;144015,00;605,16;53057,00;0,22;52409,00;0,22;62,00;0,78;314,00;1,32;234,00;0,98;90,00;0,38;451,00;1,90;421,00;1,77;10,00;0,04;41,00;0,17;6,00;0,03;32,00;0,13;27,07;0,29
31003 Januária;292494,00;2745,00;62,00;6922,05;304,09;2,90;19032,00;65,07;47956,00;0,16;30806,00;0,11;112,00;1,15;163,00;0,56;261,00;0,89;55,00;0,19;687,00;2,35;277,00;0,95;211,00;0,72;21,00;0,07;4,00;0,01;25,00;0,09;9,38;0,21
31004 Janaúba;258479,00;4655,00;94,00;8503,18;356,10;1,84;24021,00;92,93;57701,00;0,22;40173,00;0,16;109,00;1,27;265,00;1,03;290,00;1,12;71,00;0,27;632,00;2,45;310,00;1,20;42,00;0,16;22,00;0,09;4,00;0,02;36,00;0,14;18,01;0,36
31005 Salinas;222711,00;3071,00;41,00;8102,79;357,56;2,40;44994,00;202,03;41111,00;0,18;31192,00;0,14;100,00;1,35;157,00;0,70;241,00;1,08;84,00;0,38;641,00;2,88;398,00;1,79;21,00;0,09;26,00;0,12;5,00;0,02;47,00;0,21;13,79;0,18
31006 Pirapora;175543,00;3743,00;53,00;15983,69;422,46;1,75;13131,00;74,80;40317,00;0,23;37124,00;0,21;61,00;1,04;147,00;0,84;188,00;1,07;61,00;0,35;392,00;2,23;256,00;1,46;40,00;0,23;16,00;0,09;4,00;0,02;43,00;0,24;21,32;0,30
31007 Montes Claros;662545,00;16842,00;277,00;14122,02;500,53;1,92;367431,00;554,58;144256,00;0,22;124648,00;0,19;254,00;1,15;1544,00;2,33;959,00;1,45;329,00;0,50;1567,00;2,37;1200,00;1,81;100,00;0,15;68,00;0,10;18,00;0,03;306,00;0,46;25,42;0,42
31008 Grão Mogol;44889,00;551,00;9,00;12461,69;258,21;2,80;6546,00;145,83;6051,00;0,13;3161,00;0,07;19,00;1,27;28,00;0,62;41,00;0,91;13,00;0,29;136,00;3,03;48,00;1,07;71,00;1,58;1,00;0,02;0,00;0,00;2,00;0,04;12,27;0,20
31009 Bocaiúva;73899,00;699,00;13,00;11577,61;407,99;1,41;35193,00;476,23;15235,00;0,21;13628,00;0,18;30,00;1,22;91,00;1,23;72,00;0,97;21,00;0,28;181,00;2,45;64,00;0,87;106,00;1,43;2,00;0,03;0,00;0,00;#NULO!;0,00;9,46;0,18
31010 Diamantina;84470,00;614,00;16,00;10616,38;469,54;1,66;51234,00;606,53;19336,00;0,23;16283,00;0,19;35,00;1,24;175,00;2,07;176,00;2,08;83,00;0,98;205,00;2,43;260,00;3,08;147,00;1,74;22,00;0,26;6,00;0,07;85,00;1,01;7,27;0,19
31011 Capelinha;208265,00;1185,00;12,00;8111,46;352,36;1,35;76926,00;369,37;34745,00;0,17;27313,00;0,13;80,00;1,15;146,00;0,70;206,00;0,99;63,00;0,30;538,00;2,58;335,00;1,61;146,00;0,70;23,00;0,11;4,00;0,02;43,00;0,21;5,69;0,06
31012 Araçuaí;162235,00;2291,00;32,00;6207,43;293,98;3,25;49446,00;304,78;23809,00;0,15;17813,00;0,11;59,00;1,09;123,00;0,76;124,00;0,76;44,00;0,27;415,00;2,56;252,00;1,55;116,00;0,72;13,00;0,08;0,00;0,00;11,00;0,07;14,12;0,20
31013 Pedra Azul;82333,00;1896,00;39,00;8689,16;328,80;2,04;37960,00;461,05;17248,00;0,21;15287,00;0,19;32,00;1,17;72,00;0,87;89,00;1,08;23,00;0,28;227,00;2,76;210,00;2,55;11,00;0,13;12,00;0,15;2,00;0,02;28,00;0,34;23,03;0,47
31014 Almenara;187856,00;4388,00;76,00;6886,00;329,01;3,85;95341,00;507,52;38866,00;0,21;34703,00;0,18;74,00;1,18;144,00;0,77;164,00;0,87;43,00;0,23;469,00;2,50;362,00;1,93;66,00;0,35;17,00;0,09;2,00;0,01;22,00;0,12;23,36;0,40
31015 Teófilo Otoni;274815,00;6693,00;144,00;10122,65;442,56;3,18;144848,00;527,07;53494,00;0,19;40290,00;0,15;92,00;1,00;340,00;1,24;402,00;1,46;101,00;0,37;664,00;2,42;471,00;1,71;14,00;0,05;28,00;0,10;6,00;0,02;132,00;0,48;24,35;0,52
